Speaker 0:
0:00:02.780000 --> 0:00:07.200000 :  Toast und Subscribe
0:00:07.200000 --> 0:00:08.960000 :  Thank you
0:00:08.960000 --> 0:00:14.080000 :  Please check out our shop for the official Toast merch
0:00:14.080000 --> 0:00:19.020000 :  Hallo Toast, die meisten Leute kennen mich als Melody, die Influencerin
0:00:19.020000 --> 0:00:22.420000 :  Aber heute möchte ich euch mein wahres Ich präsentieren
0:00:22.420000 --> 0:00:27.320000 :  Vorab möchte ich sagen, dass es mir so leid tut, dass ich euch alle angelogen habe
0:00:27.320000 --> 0:00:30.460000 :  Denn alles, was ihr von mir online gesehen habt, war fake
0:00:30.460000 --> 0:00:33.520000 :  Karum habe ich für euch eine Präsentation vorbereitet
0:00:33.520000 --> 0:00:37.860000 :  Die meisten Leute, die mich kennen, denken, dass ich jeden Morgen ins Fitnessstudio gehe
0:00:37.860000 --> 0:00:41.520000 :  Aber um ganz ehrlich zu sein, ich war noch nie im Fitnessstudio
0:00:41.520000 --> 0:00:44 :  Denn so schaue ich morgens wirklich aus
0:00:44 --> 0:00:45.940000 :  Ich habe Pekel und Augenringe
0:00:45.940000 --> 0:00:49.020000 :  Und am liebsten Gamme, ich in meinem Pijama rum
0:00:49.020000 --> 0:00:51.600000 :  Und bei diesen Fotos wurde mir das Herz gebrochen
0:00:51.600000 --> 0:00:53.880000 :  Aber so schaue ich nun mal aus, wenn ich weine
0:00:53.880000 --> 0:00:59.700000 :  Dann habe ich auch viele dieser Fotos gepaustet, wie ich am Wochenende shoppen gegangen bin mit Starbucks in der Hand
0:00:59.700000 --> 0:01:02.520000 :  Aber ganz ehrlich, wer kann sich das schon jeden Tag leisten?
0:01:03 --> 0:01:07.540000 :  Am liebsten, dann habe ich einfach zuhause schon Netflix und ist ungesundes Essen
0:01:07.540000 --> 0:01:09.560000 :  Und das Leute ist mein wahres Ich
0:01:09.560000 --> 0:01:12.220000 :  Es tut mir so leid, dass ich euch alle belohgen habe
0:01:12.220000 --> 0:01:18.240000 :  Und das Schlimme ist mir es jetzt erst bewusst geworden, nachdem ich die Person verletzt habe, die mir am wichtigsten ist
0:01:18.240000 --> 0:01:19.940000 :  Es tut mir so leid Mateo
0:01:19.940000 --> 0:01:23.080000 :  Ich habe dich verletzt, nur damit ich mir follower bekomme
0:01:23.080000 --> 0:01:25.220000 :  Also Leute, bitte lernt aus meiner Fehler
0:01:25.220000 --> 0:01:26.980000 :  Social media ist fake
0:01:26.980000 --> 0:01:30.360000 :  Oh Melody, mir fehlen die Worte, was für eine Ansprache
0:01:30.360000 --> 0:01:33.080000 :  Danke schön, dass du so ehrlich mit uns allen warst
0:01:33.620000 --> 0:01:36.440000 :  Oh Melody, das war wirklich mutig von ihr
0:01:36.440000 --> 0:01:38.060000 :  Ich hast dir das Fitnessstudio auch
0:01:38.060000 --> 0:01:39.920000 :  Ich dachte immer, dass sie so perfekt war
0:01:39.920000 --> 0:01:42.840000 :  Aber sie ist wie ich, jetzt ist sie noch viel sympathischer
0:01:42.840000 --> 0:01:44.500000 :  Was meint ihr mit sympathischer?
0:01:44.600000 --> 0:01:47.520000 :  Habt ihr gesehen, wie sie in der Früh ausschaut mit den Augenringen?
0:01:47.600000 --> 0:01:49.880000 :  Hätte ich das gewusst, wer ich niemals mit ihr zusammengekommen
0:01:49.880000 --> 0:01:51.920000 :  Also du bist sowas von Oberflächlich
0:01:51.920000 --> 0:01:53.640000 :  Was meint ihr mit Oberflächlich?
0:01:53.880000 --> 0:01:56.780000 :  Habt ihr keine Augen in Kopf? Habt ihr nicht gesehen, wie hässlich sie war?
0:01:56.900000 --> 0:01:58.520000 :  Ich war mal ein großer Fan von dir
0:01:58.520000 --> 0:02:01.260000 :  Aber ich bemerke erst jetzt wie gemeint du bist
0:02:01.260000 --> 0:02:02.440000 :  Las Melody in Ruhe
0:02:02.440000 --> 0:02:02.920000 :  Ja, verschwindet
0:02:03.460000 --> 0:02:05.900000 :  Und gemeint ihr, wie du in die Kram kommen
0:02:05.900000 --> 0:02:06.200000 :  Was ist denn da?
0:02:06.240000 --> 0:02:07.240000 :  Dem haben wir es gezeigt
0:02:07.240000 --> 0:02:09.880000 :  Oh mein Gott Melody, hast du gar kein Scharngefühl
0:02:09.880000 --> 0:02:11.920000 :  Dass du solche Fotos von dir uploadst
0:02:12.580000 --> 0:02:14.140000 :  Das ist so peinlich
0:02:14.140000 --> 0:02:16.780000 :  Und allem das Foto von dir ohne Makeup in der Früh
